纪录片,#genre#
13唐家河系列遇见唐家河,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/e3aa33881aae4c6ea710fef26b8ac7fd/8000.m3u8
14唐家河系列河边水鸟,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/672713d3a9a74321a49b1777603fcac6/8000.m3u8
15唐家河系列四川羚牛,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/d949eae73a864d2da94f0980170e19d2/8000.m3u8
16唐家河系列中华斑羚,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/0783ebd4088e4157a663324fe49fb4d4/8000.m3u8
17唐家河系列林间小棕,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/461f45616a3f4462b459f6b491f33887/8000.m3u8
18唐家河系列候鸟戴胜,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/b151b8072ea540918a152b3f1449e2d9/8000.m3u8
19桂西南系列通灵瀑布,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/eb493a3290454603902e94a7c833e453/8000.m3u8
20桂西南系列石山家族,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/84377f8aeb7648b38efd242159d04b8e/8000.m3u8
21桂西南系列弄岗穗鹛,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/6fb5e2c3eb12478c802381c04a6e8269/8000.m3u8
22桂西南系列雨林歌者,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/0066107150544881b77e412b2eecfa33/8000.m3u8
23桂西南系列石山植物,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/3bc2644ddc2a47149c42ab4a822ebeb7/8000.m3u8
24藏东南系列诗意南伊沟,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/67215c1aa0274aecbfd56c4b8a65c2d1/8000.m3u8
25黄河中游系列盐湖生态,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/ce462fecfb4941c891cb9045dd0aa1b4/8000.m3u8
26黄河中游系列壶口瀑布,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/c7f0286afc9343aa9504e4e77140f865/8000.m3u8
27黄河中游系列远方来客,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/5b27296c56a143c8a62543723d21666d/8000.m3u8
28黄河中游系列黄河龙门,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/ad788ba86a6648aca79d403f472d6cb3/8000.m3u8
29黄河中游系列鹳雀楼,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/48bb3998ac97421ca8e229cde7477b9f/8000.m3u8
30黄河中游系列五老峰,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/ddaeea84593e4ccca96bd1a8b27fab59/8000.m3u8
31黄河中游系列伍姓湖,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/e1543b9af13f413391dd5d0d1e5e2e76/8000.m3u8
32梵净山系列梵天净土,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/afcb4997f6e04cc4b7813bf9c2a454e8/8000.m3u8
33梵净山系列千年紫薇王,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/a78906f88cb34605b702f72c5218e307/8000.m3u8
34梵净山系列九龙池,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/413c7b420044418caee34ac8f495e31f/8000.m3u8
35梵净山系列梵净山隐士,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/30cf9589fa424a6fb5fecdc5c7a9d9f1/8000.m3u8
36梵净山系列梵净报春,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/2885e9f272d14518ac8ff892ad379aa4/8000.m3u8
37武夷山系列一叶知山,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/c46ce0b4c57f475fbae5dad5c3af915e/8000.m3u8
38黄河中游系列家园,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/1355318dce9e465ca8fe4ea3bb0e58df/8000.m3u8
39武夷山系列钟灵毓秀,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/83dfc873db6a44b380947f5dc90b1dd1/8000.m3u8
40武夷山系列慧心如兰,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/b17e890214634033898019e5350ddeab/8000.m3u8
41贵州喀斯特系列悬崖精灵,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/3ab26746f4c64051b1adbe46007ab803/8000.m3u8
42武夷山系列林中仙子,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/abac7430fcbf450f8fa92f15aa7ef8ee/8000.m3u8
43武夷山系列母爱珍雉,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/8c0cbd8a7c9b499194b4ef386c2370d1/8000.m3u8
44贵州喀斯特系列睦邻而居,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/8fcf67954caa46c9878ddf12ee0429e4/8000.m3u8
45贵州喀斯特系列漏斗森林,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/a4663649723440440f2bfb170e430092ae0/8000.m3u8
46贵州喀斯特系列较长迷影,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/558cbf34337c4cafbabf092c1cf6117a/8000.m3u8
47贵州喀斯特系列石上森林,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/582e52b2e4f34ad2825605d455c19035/8000.m3u8
48贵州喀斯特系列水上森林,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/a2638b48fea94441a8512a23240b7cc3/8000.m3u8
49贵州喀斯特系列气象预报员,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/96c27135601a43edbc2a453c9059c382/8000.m3u8
50长岛系列留守海豹,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/66b66156148040b898dd5f4a165f3362/8000.m3u8
51呼伦贝尔系列呼伦贝尔大草原,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/c8927c07791f475d95d5d232ecd3d7eb/8000.m3u8
52呼伦贝尔系列鸿雁,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/33e6a0211a744cbca64a3bf7307c14ca/8000.m3u8
53张家界系列中国鸽子树,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/f0f8281fd4744a8b896e709e3782e4ae/8000.m3u8
54呼伦贝尔系列河流的故乡,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/a3aff9a4c4a5438d8cc770e36604ef38/8000.m3u8
55张家界系列森林明星鸟,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/990dd84d6d8a43a0a209e4862c37ece3/8000.m3u8
56张家界系列深林留香,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/118a4be9ddc54c4eba67e00ed25d78f3/8000.m3u8
57呼伦贝尔系列额尔古纳湿地,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/db921ce18db54331ac877f9f4a91512d/8000.m3u8
58张家界系列鸟的爱情,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/f12778729baa4b3a861b4a6db4a4a6f1/8000.m3u8
59呼伦贝尔系列驯鹿,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/c731a3797f2c4c3cb236b1b2f61319d1/8000.m3u8
60贵州喀斯特系列白花兜兰,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/7bfccbefc773477bb8409860bba7a3d7/8000.m3u8
61呼伦贝尔系列白桦林,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/d6d0e500566e412198bfb4b4d1cffa73/8000.m3u8
62呼伦贝尔系列使鹿部落,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/6450316b05f14fc8be3bd023cb70586f/8000.m3u8
63张家界系列吃货之王,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/7670a76a183c4f5c9c33a59567a7f7e6/8000.m3u8
64呼伦贝尔系列林下精灵,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/65dd142cb80e4f4e8674374114c7ebd6/8000.m3u8
65秦岭系列成长的摇篮,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/4973f4ef2280472f86cceaf010d3de9b/8000.m3u8
66秦岭系列鸟儿在秦岭,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/dcb96b408c9148fca250f71eb25a245c/8000.m3u8
67呼伦贝尔系列呼伦湖,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/6f2bbecc1d3b43ffb4f2805648a069de/8000.m3u8
68呼伦贝尔系列助力飞翔,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/ca8b1f00964b4afb83fde73caf3a2a80/8000.m3u8
69江苏盐城系列抗盐先锋,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/bc2eb4295b4942bda3a5443b3801b5cf/8000.m3u8
70江苏盐城系列鸻步探戈,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/1fab3be7f78b46f3a2a28fc0ec3fb82a/8000.m3u8
71秦岭系列伴竹而生,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/4799fc4337414308ac19aa8c01bd604e/8000.m3u8
72江苏盐城系列奇侠跳鱼,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/1c468a0725e948fd8e6548e0f70758ea/8000.m3u8

c航拍Ⅰ〜Ⅲ,＃体裁＃
航拍Ⅰ.1新疆,http://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/611dfd08172c4e3082289d6d33db4df4/8000.m3u8
航拍Ⅰ.2海南,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/ebc22b913d104ccfb153dc09850e0486/main.m3u8
航拍Ⅰ.3黑龙江,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/1199803974fe4361980f8e764d94c607/main.m3u8
航拍Ⅰ.4陕西,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/c698d3595f504fd09044e0b6615040f0/main.m3u8
航拍Ⅰ.5江西,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/8edf3fb6a69148ea9a7dc0b5a9d99fdb/main.m3u8
航拍Ⅰ.6上海,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/3e5279df88b44cb7933157330f967490/main.m3u8
航拍Ⅱ.1浙江,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/cc46d0edb5974d9bb744a009edc9c01a/main.m3u8
航拍Ⅱ.2内蒙古,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/main.m3u8
航拍Ⅱ.3甘肃,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/1d627277720b4c4698ce58d4d2edb3b5/main.m3u8
航拍Ⅱ.4广东,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/d907ef756138493e9fe5b35b4ab69642/main.m3u8
航拍Ⅱ.5福建,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/8ba642c716404cf59a87f20ef9fc54a3/main.m3u8
航拍Ⅱ.6四川,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/9e9b2ec70cca4cdc917672cb1e44bb01/main.m3u8
航拍Ⅱ.7江苏,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/b1e17e11d274467db1ace20e1534a953/main.m3u8
航拍Ⅲ.1云南,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/dc534f3d3730442a8b50334424ec2c78/2000.m3u8
航拍Ⅲ.2安徽,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/67c4d1c8265b45898a455f4dbaf17680/2000.m3u8
航拍Ⅲ.3贵州,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/73c437874a0c447dbfe6d7467d4a6e64/2000.m3u8
航拍Ⅲ.4山东,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/0263fc1d530d4b25bbc9e0ede600c7e4/2000.m3u8
航拍Ⅲ.5天津,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/5f03d9f1684241f696b25a19ffc44145/2000.m3u8
航拍Ⅲ.6山西,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/4c0d9387b7514640bc9fceee79257be4/2000.m3u8
航拍Ⅲ.7吉林,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/ad1e94a68cb440fd98317cc3aa7f4f31/2000.m3u8
航拍Ⅲ.8湖南,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/18a8a559464448dbaf60d33913e09aea/2000.m3u8
航拍Ⅲ.9河北,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/2f1976058d334d3b9e432de9e0ddc8e0/2000.m3u8
航拍Ⅲ.10宁夏,https://hls.cntv.baishancdnx.cn/asp/hls/2000/0303000a/3/default/163c971a8ec44f0ba5dd1dc3ddffb8d7/2000.m3u8

d远方的家,＃genre＃
长江行-妙丽巫山-美味山城,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/f7f18ae55b9147158cb249333128c200/8000.m3u8
长沙贡玛：探秘“最美高原湿地”,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/cf7607c068d74ff28a4c381aa4b3cda9/8000.m3u8
海子山国家级自然保护区,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/3cea891d15f24a75bde423f2f15d3975/8000.m3u8
长江行-相逢在长江源,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/d92b2caca98a4af2a41742c9cc3ac​​5f4/8000.m3u8
楠溪江：一江秀水出青山,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/d6dc772855824d9c8db8a8cedeec0554/8000.m3u8
长江行-金沙江边话永胜,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/c93d8eb6e8314790a83c030932c9bc9c/8000.m3u8
大熊猫放归之乡,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/ee8e79404f6543e399e785d181e9358b/8000.m3u8
长江行金沙江畔好地方,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/1276b1dca83e45dba5bbdd5662ee2b5b/8000.m3u8
金佛山国家级自然保护区,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/dd64abefc1374d57afee587be33e7dc1/8000.m3u8
长江行-金沙江：探秘香格里拉,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/7dcacb70e90a4c3e82ef5a265b37f64b/8000.m3u8
长江行-金沙江：情系纳帕海,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/4e0a099e12314e68a13b0035c5c0b1ca/8000.m3u8
长江行-金沙江水润丽江,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/fc460abd998a45eebe00a45b5bc132f0/8000.m3u8
长江行-卓克河：穿越四季,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/ce5053b1725c4491b70eab7d047c5ac6/8000.m3u8
长江行-古韵夔州精诚奉节,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/aa18e9d1e5c0489b9fcfa988828c686b/8000.m3u8
海洋精灵”中华白海豚,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/bcb1987804204d8ca806db4a49bd2fb2/8000.m3u8
雪峰周围的自然之境,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/657560c18f52425d901976e7684fba1f/8000.m3u8
长江行-藏乡-尼西-别样风情,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9870dfffd1dc40b0907a21511a775146/8000.m3u8
高原之上-马鹿的家,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/5a38c54af2d44a928164710f64e0594a/8000.m3u8
